poem_id,author_id,1sg,1pl,2sg,2pl_vy_polite_singular,2pl_vy_true_plural,2pl,n_total,exposure_n_stanzas,exposure_n_stanza_index_max,exposure_n_tokens,exposure_n_finite_verbs,exposure_n_finite_verbs_excl_imperative,min_stanzas,min_tokens,include_in_offset_models,include_in_fv_offset_models,include_in_fv_excl_imp_offset_models,language_clean,year_int,period3
UP310_1,A30,2,0,0,0,0,0,2,1,1.0,27,2,2,1,27,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP302_1,A18,1,1,8,0,0,0,10,1,1.0,114,17,12,1,114,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP31_1,A25,0,1,4,0,0,0,5,1,1.0,63,6,5,1,63,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP308_1,A30,1,0,3,0,0,0,4,3,4.0,151,20,20,3,43,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP317_1,A30,0,3,2,0,0,0,5,1,1.0,30,5,2,1,30,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP320_1,A30,0,0,1,0,0,0,1,1,1.0,20,2,2,1,20,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP295_1,A30,1,13,4,0,0,0,18,1,1.0,197,60,56,1,197,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP321_1,A18,1,5,0,0,2,2,8,1,1.0,135,16,16,1,135,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP331_2,A18,2,7,3,0,0,0,12,1,1.0,139,17,13,1,139,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP313_1,A30,0,4,15,0,1,1,20,1,1.0,244,27,27,1,244,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP339_1,A18,2,0,0,0,0,0,2,1,1.0,10,3,3,1,10,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP332_1,A18,5,6,4,0,0,0,15,1,1.0,162,22,22,1,162,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP2749_1,A25,5,0,14,0,0,0,19,1,1.0,151,16,12,1,151,True,True,True,Ukrainian,2016.0,P1_2014_2021
UP330_1,A28,0,10,0,0,0,0,10,1,1.0,182,33,33,1,182,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP338_1,A18,2,1,6,0,1,1,10,1,1.0,95,13,13,1,95,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP325_1,A30,2,3,3,0,0,0,8,1,1.0,173,33,29,1,173,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP339_2,A18,0,0,7,0,4,4,11,1,1.0,173,20,17,1,173,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP345_1,A21,0,0,2,0,0,0,2,1,1.0,95,3,3,1,95,True,True,True,Russian,2014.0,P1_2014_2021
